TEAM,NAME,EXPERIENCE,URL,POSITION,AGE,HT,WT,COLLEGE,SALARY,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG
Philadelphia 76ers,Mike Muscala,5,http://www.espn.com/nba/player/_/id/2490089,PF,27,210.82,108.6,Bucknell,"5,000,000",7.6,4.3,0.5,14.39,5.4,3.1,0.5,243,14.7,2.1-4.2,0.491,0.5-1.4,0.378,0.7-0.8,0.848,0.9,0.5,0.4,0.7,5.4
Philadelphia 76ers,JJ Redick,12,http://www.espn.com/nba/player/_/id/3024,SG,34,193.04,90.5,Duke,"12,250,000",17.1,3,2.5,15.92,12.4,2,2,760,25.4,4.2-9.3,0.449,1.9-4.6,0.415,2.1-2.4,0.89,2,0.1,0.5,1.1,12.4
Philadelphia 76ers,Dario Saric,2,http://www.espn.com/nba/player/_/id/3032978,PF,24,208.28,100.9,-,"2,526,840",14.6,6.7,0.3,15.88,13.7,6.5,0.3,159,27.9,4.9-11.4,0.431,1.7-4.7,0.355,2.2-2.7,0.82,2.4,0.3,0.7,2.1,13.7
Philadelphia 76ers,Landry Shamet,0,http://www.espn.com/nba/player/_/id/3914044,PG,21,195.58,85.07,Wichita State,"1,703,649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Ben Simmons,1,http://www.espn.com/nba/player/_/id/3907387,PG,22,208.28,104.07,LSU,"6,434,520",15.8,8.2,8.1,20.03,15.8,8.2,8.1,81,33.7,6.7-12.3,0.545,0.0-0.1,0,2.4-4.2,0.56,8.2,0.9,1.7,3.4,15.8
Philadelphia 76ers,Zhaire Smith,0,http://www.espn.com/nba/player/_/id/4277923,SG,19,193.04,90.05,Texas Tech,"2,526,840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,Deng Adel,0,http://www.espn.com/nba/player/_/id/3908807,SF,21,200.66,90.5,Louisville,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,OG Anunoby,1,http://www.espn.com/nba/player/_/id/3934719,SF,21,203.2,104.98,Indiana,"2,034,120",5.9,0.7,2.5,10,5.9,0.7,2.5,74,20,2.2-4.7,0.471,1.0-2.7,0.371,0.5-0.8,0.629,0.7,0.2,0.7,0.6,5.9
Toronto Raptors,Chris Boucher,1,http://www.espn.com/nba/player/_/id/3948153,PF,25,208.28,90.5,Oregon,Not signed,0,1,0,-28.48,0,1,0,1,1,0.0-1.0,0,0.0-1.0,0,0.0-0.0,0,0,0,0,0,0
Toronto Raptors,Lorenzo Brown,4,http://www.espn.com/nba/player/_/id/2528787,PG,28,195.58,85.52,North Carolina State,"1,512,601",2.3,0.9,1.1,8.21,3.1,2,1.6,77,12.6,1.3-3.5,0.375,0.2-1.0,0.154,0.3-0.5,0.684,2,0.1,0.6,0.8,3.1
